"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"bankrun6.nlogox"
"event_study"
"07/11/2026 16:08:05:306 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","avg-connections","reserve-ratio","fundamental-shock?","lolr-active?","num-nodes","beta","watcher-share","watcher-credibility","risk-threshold","shock-size","spontaneous-concern","lolr-cap","forgetfulness","warmup-ticks","dynamic-rewiring?","weight-by-credibility-sum?","[step]","ticks-since-shock","liquidity-ratio","frac-withdrawn","frac-concerned","bank-alive?"
"3","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","24","-1","0.04","0","0.08","true"
"4","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","25","-1","0.04","0","0.11","true"
"5","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","21","-1","0.04","0","0.11","true"
"2","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","22","-1","0.04","0","0.065","true"
"6","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","19","-1","0.04","0","0.13","true"
"7","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","22","-1","0.04","0","0.075","true"
"3","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","25","-1","0.04","0","0.08","true"
"2","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","23","-1","0.04","0","0.07","true"
"5","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","22","-1","0.04","0","0.11","true"
"7","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","23","-1","0.04","0","0.095","true"
"4","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","1","0.016832364619643294","0.045","0.185","true"
"6","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","20","-1","0.04","0","0.14","true"
"3","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","26","1","-0.0033122684041779443","0.045","0.105","false"
"2","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","24","-1","0.04","0","0.08","true"
"4","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","27","2","0.029871318080113514","0.04","0.205","true"
"5","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","23","-1","0.04","0","0.11","true"
"3","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","27","2","-0.0033122684041779443","0.045","0.105","false"
"2","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","25","-1","0.04","0","0.085","true"
"6","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","21","-1","0.04","0","0.135","true"
"7","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","24","-1","0.04","0","0.09","true"
"5","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","24","-1","0.04","0","0.11","true"
"4","2","0.04","false","true","200","0.1","0.05","0.9","0.2","0.6","0.005","0.01","0.02","25","false","false","28","3","0.04","0.04","0.195","true"
