"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"bankrun6.nlogox"
"pilot_smoketest"
"07/11/2026 15:43:12:272 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","avg-connections","lolr-active?","reserve-ratio","fundamental-shock?","num-nodes","beta","watcher-share","watcher-credibility","risk-threshold","shock-size","spontaneous-concern","lolr-cap","forgetfulness","warmup-ticks","dynamic-rewiring?","weight-by-credibility-sum?","[step]","bank-alive?","ticks-since-shock","peak-withdrawn","frac-withdrawn","frac-concerned","liquidity-ratio","count links / count turtles"
"61","14","true","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.015","0","0.17","0.1","7"
"62","14","true","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.015","0","0.155","0.1","7"
"63","14","true","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.01","0","0.185","0.1","7"
"64","14","true","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.01","0","0.165","0.1","7"
"65","14","true","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.01","0","0.18","0.10000000000000003","7"
"66","14","true","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.02","0","0.22","0.1","7"
"68","14","true","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.025","0","0.185","0.1","7"
"71","14","false","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.015","0","0.19","0.1","7"
"70","14","true","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.02","0","0.24","0.1","7"
"69","14","true","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.025","0","0.19","0.1","7"
"72","14","false","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.015","0","0.18","0.1","7"
"73","14","false","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.01","0","0.23","0.1","7"
"67","14","true","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.02","0","0.205","0.1","7"
"75","14","false","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.015","0","0.19","0.1","7"
"76","14","false","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.015","0","0.195","0.1","7"
"77","14","false","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.005","0","0.185","0.1","7"
"78","14","false","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.01","0","0.2","0.1","7"
"74","14","false","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.01","0","0.19","0.09999999999999999","7"
"79","14","false","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.02","0","0.215","0.1","7"
"81","18","true","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.02","0","0.15","0.1","9"
"82","18","true","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.01","0","0.18","0.1","9"
"83","18","true","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.01","0","0.185","0.1","9"
"84","18","true","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.025","0","0.205","0.1","9"
"85","18","true","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.015","0","0.15","0.1","9"
"80","14","false","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.01","0","0.205","0.1","7"
"86","18","true","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.015","0","0.19","0.1","9"
"87","18","true","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.015","0","0.155","0.1","9"
"88","18","true","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.005","0","0.195","0.1","9"
"89","18","true","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.015","0","0.16","0.10000000000000002","9"
"90","18","true","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.015","0","0.2","0.1","9"
"91","18","false","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.01","0","0.18","0.1","9"
"93","18","false","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.015","0","0.175","0.1","9"
"94","18","false","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.01","0","0.245","0.1","9"
"95","18","false","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.02","0","0.275","0.1","9"
"96","18","false","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.01","0","0.21","0.1","9"
"97","18","false","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.015","0","0.175","0.1","9"
"92","18","false","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.015","0","0.205","0.1","9"
"99","18","false","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.005","0","0.185","0.1","9"
"98","18","false","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.015","0","0.245","0.1","9"
"100","18","false","0.1","false","200","0.1","0.05","0.9","0.35","0.3","0.005","0.01","0.02","25","false","false","425","true","400","0.01","0","0.2","0.1","9"
